name,color,label_color,logo_slug
Canva,534CEA,428DC3,canva
Gimp,595342,595342,gimp
Scribus,428DC3,428DC3,scribus
Aseprite,A6B4BD,white,aseprite
Blender,F4792A,white,blender
Lightroom,2EA8FF,white,lightroom
Photoshop,2EA8FF,white,photoshop
Affinity__Photo,7D4DD2,428DC3,affinity-photo
