name,color,label_color,logo_slug
Click_Up,7D4DD2,A6B4BD,clickup
Trello,A6B4BD,0079BF,trello
Google_Docs,4285F4,A6B4BD,google-docs
Google_Sheets,34A853,A6B4BD,google-sheets
Google_Slides,A6B4BD,white,google-slides
Google_Drive,4285F4,A6B4BD,google-drive
Diagrams.net,A6B4BD,white,diagramsdotnet
Prezi,4285F4,whit,prezi
Miro,A6B4BD,333D4E,miro
Jira,A6B4BD,0052CC,jira
Nextcloud,A6B4BD,0082C9,nextcloud
git,F05032,A6B4BD,git
