name,color,label_color,logo_slug
Flask,A6B4BD,000000,flask
HTML5,A6B4BD,white,html5
CSS3,428DC3,white,css3
JavaScript,F7DF1E,black,javascript
PHP,777BB4,white,php
WordPress,21759B,white,wordpress
MYSQL,4479A1,white,mysql
