name,color,label_color,logo_slug
Windows,A6B4BD,0078D7,windows
Ubuntu,E95420,A6B4BD,ubuntu
Pop__OS!,A6B4BD,48B9C7,pop-os
ChromeOS,A6B4BD,4285F4,chromeos
Debian,A6B4BD,A80030,debian
