name,color,label_color,logo_slug
Lua,A6B4BD,2C2D72,lua
FileZilla,A6B4BD,BF0000,filezilla
Bash,A6B4BD,4EAA25,bash
Github,A6B4BD,24292E,github
Bitbucket,A6B4BD,0052CC,bitbucket
